Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange
CRCL,CIRCLE INTERNET GROUP INC CLASS A,Information Technology,Equity,"62,09,841.68",0.01,"62,09,841.68","79,777.00",77.84,United States,NYSE
AFG,AMERICAN FINANCIAL GROUP INC,Financials,Equity,"61,99,443.00",0.01,"61,99,443.00","46,230.00",134.1,United States,NYSE
VOYA,VOYA FINANCIAL INC,Financials,Equity,"61,77,004.04",0.01,"61,77,004.04","67,523.00",91.48,United States,NYSE
ORI,OLD REPUBLIC INTERNATIONAL CORP,Financials,Equity,"61,67,767.27",0.01,"61,67,767.27","1,59,911.00",38.57,United States,NYSE
FOX,FOX CORP CLASS B,Communication,Equity,"61,62,619.56",0.01,"61,62,619.56","1,04,593.00",58.92,United States,NASDAQ
OSK,OSHKOSH CORP,Industrials,Equity,"61,38,967.85",0.01,"61,38,967.85","45,457.00",135.05,United States,NYSE
AAON,AAON INC,Industrials,Equity,"60,96,725.46",0.01,"60,96,725.46","47,934.00",127.19,United States,NASDAQ
CFR,CULLEN FROST BANKERS INC,Financials,Equity,"60,88,424.00",0.01,"60,88,424.00","41,138.00",148,United States,NYSE
U,UNITY SOFTWARE INC,Information Technology,Equity,"60,67,192.44",0.01,"60,67,192.44","2,22,731.00",27.24,United States,NYSE
NNN,NNN REIT INC,Real Estate,Equity,"60,64,014.63",0.01,"60,64,014.63","1,30,157.00",46.59,United States,NYSE
BEN,FRANKLIN RESOURCES INC,Financials,Equity,"60,64,923.06",0.01,"60,64,923.06","1,88,762.00",32.13,United States,NYSE
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,Consumer Discretionary,Equity,"60,55,456.65",0.01,"60,55,456.65","3,11,655.00",19.43,United States,NYSE
TTD,TRADE DESK INC CLASS A,Communication,Equity,"60,55,886.56",0.01,"60,55,886.56","3,14,102.00",19.28,United States,NASDAQ
EMN,EASTMAN CHEMICAL,Materials,Equity,"60,44,528.76",0.01,"60,44,528.76","80,358.00",75.22,United States,NYSE
MTCH,MATCH GROUP INC,Communication,Equity,"60,44,797.17",0.01,"60,44,797.17","1,73,253.00",34.89,United States,NASDAQ
ADC,AGREE REALTY REIT CORP,Real Estate,Equity,"60,40,617.80",0.01,"60,40,617.80","79,660.00",75.83,United States,NYSE
TECH,BIO TECHNE CORP,Health Care,Equity,"60,10,146.00",0.01,"60,10,146.00","1,11,299.00",54,United States,NASDAQ
UBFUT,CASH COLLATERAL USD UBFUT,Cash and/or Derivatives,Cash Collateral and Margins,"59,81,000.00",0.01,"59,81,000.00","59,81,000.00",100,United States,--
MANH,MANHATTAN ASSOCIATES INC,Information Technology,Equity,"59,77,771.92",0.01,"59,77,771.92","41,826.00",142.92,United States,NASDAQ
HSIC,HENRY SCHEIN INC,Health Care,Equity,"59,72,850.00",0.01,"59,72,850.00","73,512.00",81.25,United States,NASDAQ
ONON,ON HOLDING AG CLASS A,Consumer Discretionary,Equity,"59,47,338.48",0.01,"59,47,338.48","1,54,156.00",38.58,United States,NYSE
TKR,TIMKEN,Industrials,Equity,"59,51,693.44",0.01,"59,51,693.44","43,424.00",137.06,United States,NYSE
SFM,SPROUTS FARMERS MARKET INC,Consumer Staples,Equity,"59,13,087.02",0.01,"59,13,087.02","68,494.00",86.33,United States,NASDAQ
BLDR,BUILDERS FIRSTSOURCE INC,Industrials,Equity,"59,03,909.55",0.01,"59,03,909.55","75,915.00",77.77,United States,NYSE
CRUS,CIRRUS LOGIC INC,Information Technology,Equity,"58,82,298.32",0.01,"58,82,298.32","35,848.00",164.09,United States,NASDAQ
QRVO,QORVO INC,Information Technology,Equity,"58,62,457.17",0.01,"58,62,457.17","59,463.00",98.59,United States,NASDAQ
REXR,REXFORD INDUSTRIAL REALTY REIT INC,Real Estate,Equity,"58,19,430.87",0.01,"58,19,430.87","1,65,843.00",35.09,United States,NYSE
VNOM,VIPER ENERGY INC CLASS A,Energy,Equity,"58,14,090.66",0.01,"58,14,090.66","1,31,007.00",44.38,United States,NASDAQ
BROS,DUTCH BROS INC CLASS A,Consumer Discretionary,Equity,"57,60,235.58",0.01,"57,60,235.58","87,422.00",65.89,United States,NYSE
MP,MP MATERIALS CORP CLASS A,Materials,Equity,"57,59,086.05",0.01,"57,59,086.05","1,00,071.00",57.55,United States,NYSE
H,HYATT HOTELS CORP CLASS A,Consumer Discretionary,Equity,"57,51,137.28",0.01,"57,51,137.28","28,848.00",199.36,United States,NYSE
WYNN,WYNN RESORTS LTD,Consumer Discretionary,Equity,"57,43,986.69",0.01,"57,43,986.69","53,547.00",107.27,United States,NASDAQ
SSD,SIMPSON MANUFACTURING INC,Industrials,Equity,"57,24,911.64",0.01,"57,24,911.64","29,652.00",193.07,United States,NYSE
HALO,HALOZYME THERAPEUTICS INC,Health Care,Equity,"56,66,404.50",0.01,"56,66,404.50","81,531.00",69.5,United States,NASDAQ
AXS,AXIS CAPITAL HOLDINGS LTD,Financials,Equity,"56,47,063.36",0.01,"56,47,063.36","55,669.00",101.44,United States,NYSE
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Health Care,Equity,"56,44,783.84",0.01,"56,44,783.84","38,552.00",146.42,United States,NYSE
FR,FIRST INDUSTRIAL REALTY TRUST INC,Real Estate,Equity,"56,33,636.97",0.01,"56,33,636.97","88,621.00",63.57,United States,NYSE
LSTR,LANDSTAR SYSTEM INC,Industrials,Equity,"56,06,750.00",0.01,"56,06,750.00","25,000.00",224.27,United States,NASDAQ
CRBG,COREBRIDGE FINANCIAL INC,Financials,Equity,"55,97,000.04",0.01,"55,97,000.04","1,94,746.00",28.74,United States,NYSE
KEX,KIRBY CORP,Industrials,Equity,"55,87,930.04",0.01,"55,87,930.04","38,962.00",143.42,United States,NYSE
CHRD,CHORD ENERGY CORP,Energy,Equity,"55,59,902.54",0.01,"55,59,902.54","41,081.00",135.34,United States,NASDAQ
NOV,NOV INC,Energy,Equity,"55,23,382.00",0.01,"55,23,382.00","2,61,400.00",21.13,United States,NYSE
KMX,CARMAX INC,Consumer Discretionary,Equity,"55,11,782.76",0.01,"55,11,782.76","1,07,526.00",51.26,United States,NYSE
ATR,APTARGROUP INC,Materials,Equity,"54,84,457.08",0.01,"54,84,457.08","46,589.00",117.72,United States,NYSE
CORT,CORCEPT THERAPEUTICS INC,Health Care,Equity,"54,51,166.68",0.01,"54,51,166.68","65,748.00",82.91,United States,NASDAQ
HXL,HEXCEL CORP,Industrials,Equity,"54,27,106.53",0.01,"54,27,106.53","55,543.00",97.71,United States,NYSE
CLF,CLEVELAND CLIFFS INC,Materials,Equity,"54,21,465.40",0.01,"54,21,465.40","3,93,430.00",13.78,United States,NYSE
ECG,EVERUS CONSTRUCTION GROUP INC,Industrials,Equity,"54,06,845.07",0.01,"54,06,845.07","36,329.00",148.83,United States,NYSE
UGI,UGI CORP,Utilities,Equity,"54,00,610.13",0.01,"54,00,610.13","1,54,171.00",35.03,United States,NYSE
IDA,IDACORP INC,Utilities,Equity,"53,46,880.08",0.01,"53,46,880.08","37,396.00",142.98,United States,NYSE
LEA,LEAR CORP,Consumer Discretionary,Equity,"53,32,888.08",0.01,"53,32,888.08","36,738.00",145.16,United States,NYSE
QGEN,QIAGEN NV,Health Care,Equity,"53,22,038.36",0.01,"53,22,038.36","1,43,606.00",37.06,Germany,NYSE
MIDD,MIDDLEBY CORP,Industrials,Equity,"53,04,519.50",0.01,"53,04,519.50","33,467.00",158.5,United States,NASDAQ
RAL,RALLIANT CORP,Information Technology,Equity,"52,82,236.96",0.01,"52,82,236.96","79,937.00",66.08,United States,NYSE
TTEK,TETRA TECH INC,Industrials,Equity,"52,57,417.75",0.01,"52,57,417.75","1,84,925.00",28.43,United States,NASDAQ
LAD,LITHIA MOTORS INC CLASS A,Consumer Discretionary,Equity,"52,48,174.86",0.01,"52,48,174.86","16,747.00",313.38,United States,NYSE
HLI,HOULIHAN LOKEY INC CLASS A,Financials,Equity,"52,45,749.27",0.01,"52,45,749.27","38,043.00",137.89,United States,NYSE
W,WAYFAIR INC CLASS A,Consumer Discretionary,Equity,"52,20,565.56",0.01,"52,20,565.56","67,284.00",77.59,United States,NYSE
DVA,DAVITA INC,Health Care,Equity,"51,58,909.84",0.01,"51,58,909.84","24,724.00",208.66,United States,NYSE
CBSH,COMMERCE BANCSHARES INC,Financials,Equity,"51,60,391.54",0.01,"51,60,391.54","92,447.00",55.82,United States,NASDAQ
AM,ANTERO MIDSTREAM CORP,Energy,Equity,"51,43,634.54",0.01,"51,43,634.54","2,37,362.00",21.67,United States,NYSE
NFG,NATIONAL FUEL GAS,Utilities,Equity,"51,37,765.05",0.01,"51,37,765.05","66,251.00",77.55,United States,NYSE
AVT,AVNET INC,Information Technology,Equity,"51,38,536.57",0.01,"51,38,536.57","56,723.00",90.59,United States,NASDAQ
WFRD,WEATHERFORD INTERNATIONAL PLC,Energy,Equity,"51,33,377.70",0.01,"51,33,377.70","50,670.00",101.31,United States,NASDAQ
MOS,MOSAIC,Materials,Equity,"50,90,592.26",0.01,"50,90,592.26","2,24,354.00",22.69,United States,NYSE
HRL,HORMEL FOODS CORP,Consumer Staples,Equity,"50,68,874.25",0.01,"50,68,874.25","2,04,803.00",24.75,United States,NYSE
