Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange
STWD,STARWOOD PROPERTY TRUST REIT INC,Financials,Equity,"40,77,212.00",0.01,"40,77,212.00","2,39,836.00",17,United States,NYSE
GXO,GXO LOGISTICS INC,Industrials,Equity,"40,56,315.20",0.01,"40,56,315.20","81,616.00",49.7,United States,NYSE
MTG,MGIC INVESTMENT CORP,Financials,Equity,"39,86,148.02",0.01,"39,86,148.02","1,54,442.00",25.81,United States,NYSE
CHDN,CHURCHILL DOWNS INC,Consumer Discretionary,Equity,"39,57,421.86",0.01,"39,57,421.86","45,519.00",86.94,United States,NASDAQ
FND,FLOOR DECOR HOLDINGS INC CLASS A,Consumer Discretionary,Equity,"39,47,906.76",0.01,"39,47,906.76","74,014.00",53.34,United States,NYSE
MHK,MOHAWK INDUSTRIES INC,Consumer Discretionary,Equity,"39,46,297.68",0.01,"39,46,297.68","36,662.00",107.64,United States,NYSE
UHALB,U HAUL NON VOTING SERIES N,Industrials,Equity,"38,96,337.40",0.01,"38,96,337.40","70,331.00",55.4,United States,NYSE
TPG,TPG INC CLASS A,Financials,Equity,"38,97,824.26",0.01,"38,97,824.26","90,626.00",43.01,United States,NASDAQ
BRKR,BRUKER CORP,Health Care,Equity,"38,86,230.26",0.01,"38,86,230.26","71,662.00",54.23,United States,NASDAQ
SAIC,SCIENCE APPLICATIONS INTERNATIONAL,Industrials,Equity,"38,81,262.43",0.01,"38,81,262.43","34,103.00",113.81,United States,NASDAQ
BIO,BIO RAD LABORATORIES INC CLASS A,Health Care,Equity,"38,58,760.30",0.01,"38,58,760.30","13,495.00",285.94,United States,NYSE
ACI,ALBERTSONS COMPANY INC CLASS A,Consumer Staples,Equity,"38,25,101.02",0.01,"38,25,101.02","2,48,222.00",15.41,United States,NYSE
ALK,ALASKA AIR GROUP INC,Industrials,Equity,"37,88,912.40",0.01,"37,88,912.40","80,070.00",47.32,United States,NYSE
LYFT,LYFT INC CLASS A,Industrials,Equity,"37,83,549.90",0.01,"37,83,549.90","2,79,435.00",13.54,United States,NASDAQ
PCOR,PROCORE TECHNOLOGIES INC,Information Technology,Equity,"37,33,102.08",0.01,"37,33,102.08","88,128.00",42.36,United States,NYSE
FBIN,FORTUNE BRANDS INNOVATIONS INC,Industrials,Equity,"37,35,288.50",0.01,"37,35,288.50","86,425.00",43.22,United States,NYSE
EPAM,EPAM SYSTEMS INC,Information Technology,Equity,"37,17,053.98",0.01,"37,17,053.98","38,971.00",95.38,United States,NYSE
BC,BRUNSWICK CORP,Consumer Discretionary,Equity,"37,04,054.40",0.01,"37,04,054.40","44,865.00",82.56,United States,NYSE
AS,AMER SPORTS INC,Consumer Discretionary,Equity,"37,02,024.00",0.01,"37,02,024.00","1,04,400.00",35.46,United States,NYSE
ESTC,ELASTIC NV,Information Technology,Equity,"36,95,954.70",0.01,"36,95,954.70","61,242.00",60.35,United States,NYSE
AN,AUTONATION INC,Consumer Discretionary,Equity,"36,92,123.81",0.01,"36,92,123.81","19,277.00",191.53,United States,NYSE
SIRI,SIRIUSXM HOLDINGS INC,Communication,Equity,"36,55,591.68",0.01,"36,55,591.68","1,32,834.00",27.52,United States,NASDAQ
Z,ZILLOW GROUP INC CLASS C,Real Estate,Equity,"36,47,384.22",0.01,"36,47,384.22","1,13,874.00",32.03,United States,NASDAQ
ESAB,ESAB CORP,Industrials,Equity,"36,44,669.14",0.01,"36,44,669.14","39,802.00",91.57,United States,NYSE
G,GENPACT LTD,Industrials,Equity,"36,09,603.34",0.01,"36,09,603.34","1,12,589.00",32.06,United States,NYSE
SON,SONOCO PRODUCTS,Materials,Equity,"35,63,465.62",0.01,"35,63,465.62","70,466.00",50.57,United States,NYSE
MSM,MSC INDUSTRIAL INC CLASS A,Industrials,Equity,"35,56,594.51",0.01,"35,56,594.51","30,479.00",116.69,United States,NYSE
BYD,BOYD GAMING CORP,Consumer Discretionary,Equity,"35,56,735.82",0.01,"35,56,735.82","40,667.00",87.46,United States,NYSE
GAP,GAP INC,Consumer Discretionary,Equity,"35,31,666.93",0.01,"35,31,666.93","1,61,337.00",21.89,United States,NYSE
DBX,DROPBOX INC CLASS A,Information Technology,Equity,"35,25,628.05",0.01,"35,25,628.05","1,30,145.00",27.09,United States,NASDAQ
TREX,TREX INC,Industrials,Equity,"35,03,790.81",0.01,"35,03,790.81","76,787.00",45.63,United States,NYSE
OLLI,OLLIES BARGAIN OUTLET HOLDINGS INC,Consumer Discretionary,Equity,"34,99,247.25",0.01,"34,99,247.25","42,033.00",83.25,United States,NASDAQ
FCN,FTI CONSULTING INC,Industrials,Equity,"34,63,961.65",0.01,"34,63,961.65","21,845.00",158.57,United States,NYSE
WSC,WILLSCOT HOLDINGS CORP CLASS A,Industrials,Equity,"34,52,197.99",0.01,"34,52,197.99","1,22,723.00",28.13,United States,NASDAQ
NXST,NEXSTAR MEDIA GROUP INC,Communication,Equity,"34,47,073.00",0.01,"34,47,073.00","19,754.00",174.5,United States,NASDAQ
VVV,VALVOLINE INC,Consumer Discretionary,Equity,"34,41,540.66",0.01,"34,41,540.66","91,506.00",37.61,United States,NYSE
NEU,NEWMARKET CORP,Materials,Equity,"34,33,319.60",0.01,"34,33,319.60","4,120.00",833.33,United States,NYSE
WEX,WEX INC,Financials,Equity,"34,24,491.50",0.01,"34,24,491.50","25,273.00",135.5,United States,NYSE
VIRT,VIRTU FINANCIAL INC CLASS A,Financials,Equity,"34,10,354.94",0.01,"34,10,354.94","59,187.00",57.62,United States,NYSE
SITE,SITEONE LANDSCAPE SUPPLY INC,Industrials,Equity,"34,04,272.50",0.01,"34,04,272.50","31,965.00",106.5,United States,NYSE
BEPC,BROOKFIELD RENEWABLE SUBORDINATE V,Utilities,Equity,"34,05,648.19",0.01,"34,05,648.19","93,331.00",36.49,Canada,NYSE
HRB,H&R BLOCK INC,Consumer Discretionary,Equity,"33,89,275.12",0.01,"33,89,275.12","92,806.00",36.52,United States,NYSE
WTM,WHITE MOUNTAINS INSURANCE GROUP LT,Financials,Equity,"33,84,211.60",0.01,"33,84,211.60","1,672.00","2,024.05",United States,NYSE
CUZ,COUSINS PROPERTIES REIT INC,Real Estate,Equity,"33,73,572.90",0.01,"33,73,572.90","1,16,290.00",29.01,United States,NYSE
BSY,BENTLEY SYSTEMS INC CLASS B,Information Technology,Equity,"33,77,073.70",0.01,"33,77,073.70","1,10,110.00",30.67,United States,NASDAQ
LPX,LOUISIANA PACIFIC CORP,Materials,Equity,"33,65,769.12",0.01,"33,65,769.12","44,853.00",75.04,United States,NYSE
RITM,RITHM CAPITAL CORP,Financials,Equity,"33,54,095.08",0.01,"33,54,095.08","3,60,268.00",9.31,United States,NYSE
CELH,CELSIUS HOLDINGS INC,Consumer Staples,Equity,"33,55,933.44",0.01,"33,55,933.44","1,15,008.00",29.18,United States,NASDAQ
PCTY,PAYLOCITY HOLDING CORP,Industrials,Equity,"33,52,925.04",0.01,"33,52,925.04","30,806.00",108.84,United States,NASDAQ
MTN,VAIL RESORTS INC,Consumer Discretionary,Equity,"33,40,481.98",0.01,"33,40,481.98","25,058.00",133.31,United States,NYSE
MAT,MATTEL INC,Consumer Discretionary,Equity,"32,91,591.30",0.01,"32,91,591.30","2,24,682.00",14.65,United States,NASDAQ
KBR,KBR INC,Industrials,Equity,"32,82,370.56",0.01,"32,82,370.56","91,584.00",35.84,United States,NYSE
MKTX,MARKETAXESS HOLDINGS INC,Financials,Equity,"32,83,614.18",0.01,"32,83,614.18","27,162.00",120.89,United States,NASDAQ
LLYVK,LIBERTY LIVE HOLDINGS INC SERIES C,Consumer Discretionary,Equity,"32,61,405.12",0.01,"32,61,405.12","32,352.00",100.81,United States,NASDAQ
SLM,SLM CORP,Financials,Equity,"32,55,640.98",0.01,"32,55,640.98","1,45,471.00",22.38,United States,NASDAQ
DUOL,DUOLINGO INC CLASS A,Consumer Discretionary,Equity,"32,46,138.73",0.01,"32,46,138.73","26,471.00",122.63,United States,NASDAQ
TNL,TRAVEL LEISURE,Consumer Discretionary,Equity,"32,41,185.99",0.01,"32,41,185.99","43,723.00",74.13,United States,NYSE
TEM,TEMPUS AI INC CLASS A,Health Care,Equity,"32,23,880.94",0.01,"32,23,880.94","67,417.00",47.82,United States,NASDAQ
RLI,RLI CORP,Financials,Equity,"32,17,574.35",0.01,"32,17,574.35","59,201.00",54.35,United States,NYSE
EXLS,EXLSERVICE HOLDINGS INC,Industrials,Equity,"31,92,847.56",0.01,"31,92,847.56","1,10,709.00",28.84,United States,NASDAQ
POST,POST HOLDINGS INC,Consumer Staples,Equity,"31,84,922.30",0.01,"31,84,922.30","34,195.00",93.14,United States,NYSE
WING,WINGSTOP INC,Consumer Discretionary,Equity,"31,57,189.66",0.01,"31,57,189.66","19,454.00",162.29,United States,NASDAQ
CHWY,CHEWY INC CLASS A,Consumer Discretionary,Equity,"31,43,243.18",0.01,"31,43,243.18","1,62,778.00",19.31,United States,NYSE
IRDM,IRIDIUM COMMUNICATIONS INC,Communication,Equity,"31,41,622.12",0.01,"31,41,622.12","66,391.00",47.32,United States,NASDAQ
MRP,MILLROSE PROPERTIES INC CLASS A,Real Estate,Equity,"31,32,727.59",0.01,"31,32,727.59","1,07,543.00",29.13,United States,NYSE
CPB,CAMPBELL SOUP,Consumer Staples,Equity,"31,19,313.12",0.01,"31,19,313.12","1,36,752.00",22.81,United States,NASDAQ
S,SENTINELONE INC CLASS A,Information Technology,Equity,"31,08,268.35",0.01,"31,08,268.35","2,09,311.00",14.85,United States,NYSE
KRC,KILROY REALTY REIT CORP,Real Estate,Equity,"30,92,622.00",0.01,"30,92,622.00","80,600.00",38.37,United States,NYSE
CWEN,CLEARWAY ENERGY INC CLASS C,Utilities,Equity,"30,86,816.07",0.01,"30,86,816.07","82,381.00",37.47,United States,NYSE
EPR,EPR PROPERTIES REIT,Real Estate,Equity,"30,75,511.95",0.01,"30,75,511.95","51,387.00",59.85,United States,NYSE
MDU,MDU RESOURCES GROUP INC,Utilities,Equity,"30,66,966.35",0.01,"30,66,966.35","1,45,285.00",21.11,United States,NYSE
YETI,YETI HOLDINGS INC,Consumer Discretionary,Equity,"30,31,452.08",0.01,"30,31,452.08","60,124.00",50.42,United States,NYSE
VNT,VONTIER CORP,Information Technology,Equity,"30,20,751.81",0.01,"30,20,751.81","1,03,203.00",29.27,United States,NYSE
PLNT,PLANET FITNESS INC CLASS A,Consumer Discretionary,Equity,"29,86,635.50",0.01,"29,86,635.50","58,550.00",51.01,United States,NYSE
PATH,UIPATH INC CLASS A,Information Technology,Equity,"29,53,915.60",0.01,"29,53,915.60","2,79,992.00",10.55,United States,NYSE
BBWI,BATH AND BODY WORKS INC,Consumer Discretionary,Equity,"29,35,743.80",0.01,"29,35,743.80","1,51,327.00",19.4,United States,NYSE
COLD,AMERICOLD REALTY INC TRUST,Real Estate,Equity,"28,96,424.76",0.01,"28,96,424.76","2,00,306.00",14.46,United States,NYSE
MORN,MORNINGSTAR INC,Financials,Equity,"28,81,843.34",0.01,"28,81,843.34","16,447.00",175.22,United States,NASDAQ
LOPE,GRAND CANYON EDUCATION INC,Consumer Discretionary,Equity,"28,69,565.44",0.01,"28,69,565.44","19,456.00",147.49,United States,NASDAQ
NVST,ENVISTA HOLDINGS CORP,Health Care,Equity,"28,59,946.80",0.01,"28,59,946.80","1,16,258.00",24.6,United States,NYSE
LAZ,LAZARD INC,Financials,Equity,"28,19,502.80",0.01,"28,19,502.80","64,490.00",43.72,United States,NYSE
THO,THOR INDUSTRIES INC,Consumer Discretionary,Equity,"28,13,386.69",0.01,"28,13,386.69","36,457.00",77.17,United States,NYSE
OLED,UNIVERSAL DISPLAY CORP,Information Technology,Equity,"28,11,206.02",0.01,"28,11,206.02","30,737.00",91.46,United States,NASDAQ
SHC,SOTERA HEALTH COMPANY,Health Care,Equity,"27,99,817.65",0.01,"27,99,817.65","1,72,935.00",16.19,United States,NASDAQ
BFB,BROWN FORMAN CORP CLASS B,Consumer Staples,Equity,"27,90,700.21",0.01,"27,90,700.21","1,03,321.00",27.01,United States,NYSE
PVH,PVH CORP,Consumer Discretionary,Equity,"27,43,119.24",0.01,"27,43,119.24","33,469.00",81.96,United States,NYSE
LBRDK,LIBERTY BROADBAND CORP SERIES C,Communication,Equity,"26,51,263.55",0.01,"26,51,263.55","77,545.00",34.19,United States,NASDAQ
NWS,NEWS CORP CLASS B,Communication,Equity,"26,18,916.30",0.01,"26,18,916.30","89,505.00",29.26,United States,NASDAQ
BHF,BRIGHTHOUSE FINANCIAL INC,Financials,Equity,"25,95,323.28",0.01,"25,95,323.28","41,176.00",63.03,United States,NASDAQ
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS I,Consumer Discretionary,Equity,"25,89,979.30",0.01,"25,89,979.30","39,938.00",64.85,United States,NYSE
GTLB,GITLAB INC CLASS A,Information Technology,Equity,"25,73,242.84",0.01,"25,73,242.84","92,596.00",27.79,United States,NASDAQ
DRS,LEONARDO DRS INC,Industrials,Equity,"25,69,469.38",0.01,"25,69,469.38","52,946.00",48.53,United States,NASDAQ
RYAN,RYAN SPECIALTY HOLDINGS INC CLASS,Financials,Equity,"25,71,390.36",0.01,"25,71,390.36","72,149.00",35.64,United States,NYSE
FHB,FIRST HAWAIIAN INC,Financials,Equity,"25,57,627.43",0.01,"25,57,627.43","89,147.00",28.69,United States,NASDAQ
JHX,JAMES HARDIE INDUSTRIES PLC,Materials,Equity,"25,56,887.19",0.01,"25,56,887.19","1,05,963.00",24.13,Australia,NYSE
OGN,ORGANON,Health Care,Equity,"24,91,292.16",0.01,"24,91,292.16","1,85,364.00",13.44,United States,NYSE
AGO,ASSURED GUARANTY LTD,Financials,Equity,"24,89,919.90",0.01,"24,89,919.90","32,565.00",76.46,United States,NYSE
AMTM,AMENTUM HOLDINGS INC,Industrials,Equity,"24,77,932.56",0.01,"24,77,932.56","1,08,396.00",22.86,United States,NYSE
APPF,APPFOLIO INC CLASS A,Information Technology,Equity,"24,74,895.92",0.01,"24,74,895.92","15,352.00",161.21,United States,NASDAQ
SLGN,SILGAN HOLDINGS INC,Materials,Equity,"24,66,627.54",0.01,"24,66,627.54","60,294.00",40.91,United States,NYSE
ADT,ADT INC,Consumer Discretionary,Equity,"24,34,182.40",0.01,"24,34,182.40","3,57,968.00",6.8,United States,NYSE
PENN,PENN ENTERTAINMENT INC,Consumer Discretionary,Equity,"23,82,545.28",0,"23,82,545.28","1,09,896.00",21.68,United States,NASDAQ
VGNT,VERSIGENT PLC,Consumer Discretionary,Equity,"23,63,494.49",0,"23,63,494.49","50,621.00",46.69,United States,NYSE
RHI,ROBERT HALF,Industrials,Equity,"23,51,853.63",0,"23,51,853.63","72,387.00",32.49,United States,NYSE
TDC,TERADATA CORP,Information Technology,Equity,"23,42,835.00",0,"23,42,835.00","70,995.00",33,United States,NYSE
CAR,AVIS BUDGET GROUP INC,Industrials,Equity,"23,40,496.96",0,"23,40,496.96","12,508.00",187.12,United States,NASDAQ
RNG,RINGCENTRAL INC CLASS A,Information Technology,Equity,"23,26,205.28",0,"23,26,205.28","60,202.00",38.64,United States,NYSE
DLB,DOLBY LABORATORIES INC CLASS A,Information Technology,Equity,"22,83,779.68",0,"22,83,779.68","43,484.00",52.52,United States,NYSE
HIW,HIGHWOODS PROPERTIES REIT INC,Real Estate,Equity,"22,70,883.68",0,"22,70,883.68","76,102.00",29.84,United States,NYSE
ELF,ELF BEAUTY INC,Consumer Staples,Equity,"22,66,035.55",0,"22,66,035.55","37,057.00",61.15,United States,NYSE
HLNE,HAMILTON LANE INC CLASS A,Financials,Equity,"22,64,266.80",0,"22,64,266.80","28,268.00",80.1,United States,NASDAQ
PAG,PENSKE AUTOMOTIVE GROUP VOTING INC,Consumer Discretionary,Equity,"22,58,742.72",0,"22,58,742.72","12,482.00",180.96,United States,NYSE
GPK,GRAPHIC PACKAGING HOLDING,Materials,Equity,"22,30,939.30",0,"22,30,939.30","2,08,499.00",10.7,United States,NYSE
LINE,LINEAGE INC,Real Estate,Equity,"22,00,788.90",0,"22,00,788.90","49,545.00",44.42,United States,NASDAQ
NSA,NATIONAL STORAGE AFFILIATES TRUST,Real Estate,Equity,"21,96,297.36",0,"21,96,297.36","48,038.00",45.72,United States,NYSE
PPLI,PEOPLE,Communication,Equity,"21,80,439.04",0,"21,80,439.04","51,136.00",42.64,United States,NASDAQ
BOKF,BOK FINANCIAL CORP,Financials,Equity,"21,35,587.65",0,"21,35,587.65","15,865.00",134.61,United States,NASDAQ
VKTX,VIKING THERAPEUTICS INC,Health Care,Equity,"21,21,376.25",0,"21,21,376.25","73,787.00",28.75,United States,NASDAQ
PK,PARK HOTELS RESORTS INC,Real Estate,Equity,"21,06,560.00",0,"21,06,560.00","1,45,280.00",14.5,United States,NYSE
PSN,PARSONS CORP,Industrials,Equity,"20,93,704.20",0,"20,93,704.20","36,926.00",56.7,United States,NYSE
QS,QUANTUMSCAPE CORP CLASS A,Consumer Discretionary,Equity,"20,46,152.73",0,"20,46,152.73","2,88,597.00",7.09,United States,NASDAQ
ASH,ASHLAND INC,Materials,Equity,"20,30,300.10",0,"20,30,300.10","31,245.00",64.98,United States,NYSE
HAYW,HAYWARD HOLDINGS INC,Industrials,Equity,"20,28,364.74",0,"20,28,364.74","1,38,834.00",14.61,United States,NYSE
LOAR,LOAR HOLDINGS INC,Industrials,Equity,"20,29,899.08",0,"20,29,899.08","29,812.00",68.09,United States,NYSE
WLK,WESTLAKE CORP,Materials,Equity,"20,22,136.50",0,"20,22,136.50","22,849.00",88.5,United States,NYSE
HOG,HARLEY DAVIDSON INC,Consumer Discretionary,Equity,"20,24,534.40",0,"20,24,534.40","78,960.00",25.64,United States,NYSE
OLN,OLIN CORP,Materials,Equity,"20,24,925.14",0,"20,24,925.14","80,578.00",25.13,United States,NYSE
CHH,CHOICE HOTELS INTERNATIONAL INC,Consumer Discretionary,Equity,"19,97,497.92",0,"19,97,497.92","18,232.00",109.56,United States,NYSE
IPGP,IPG PHOTONICS CORP,Information Technology,Equity,"19,93,648.85",0,"19,93,648.85","17,389.00",114.65,United States,NASDAQ
PEGA,PEGASYSTEMS INC,Information Technology,Equity,"19,67,467.32",0,"19,67,467.32","60,057.00",32.76,United States,NASDAQ
CCC,CCC INTELLIGENT SOLUTIONS HOLDINGS,Information Technology,Equity,"19,37,993.80",0,"19,37,993.80","4,21,303.00",4.6,United States,NASDAQ
FOUR,SHIFT4 PAYMENTS INC CLASS A,Financials,Equity,"19,13,140.44",0,"19,13,140.44","46,458.00",41.18,United States,NYSE
SMG,SCOTTS MIRACLE GRO,Materials,Equity,"19,03,937.91",0,"19,03,937.91","30,873.00",61.67,United States,NYSE
KD,KYNDRYL HOLDINGS INC,Information Technology,Equity,"18,76,890.60",0,"18,76,890.60","1,60,418.00",11.7,United States,NYSE
BILL,BILL HOLDINGS INC,Information Technology,Equity,"18,74,902.26",0,"18,74,902.26","56,507.00",33.18,United States,NYSE
HUN,HUNTSMAN CORP,Materials,Equity,"18,59,964.32",0,"18,59,964.32","1,18,168.00",15.74,United States,NYSE
DOCS,DOXIMITY INC CLASS A,Health Care,Equity,"18,32,076.84",0,"18,32,076.84","91,421.00",20.04,United States,NYSE
EEFT,EURONET WORLDWIDE INC,Financials,Equity,"18,22,217.76",0,"18,22,217.76","27,336.00",66.66,United States,NASDAQ
BIRK,BIRKENSTOCK HOLDING PLC,Consumer Discretionary,Equity,"18,15,303.75",0,"18,15,303.75","37,237.00",48.75,United States,NYSE
UI,UBIQUITI INC,Information Technology,Equity,"17,40,874.61",0,"17,40,874.61","2,957.00",588.73,United States,NYSE
CACC,CREDIT ACCEPTANCE CORP,Financials,Equity,"17,30,509.55",0,"17,30,509.55","3,157.00",548.15,United States,NASDAQ
MPT,MEDICAL PROPERTIES TRUST REIT INC,Real Estate,Equity,"17,31,238.40",0,"17,31,238.40","3,49,040.00",4.96,United States,NYSE
FRPT,FRESHPET INC,Consumer Staples,Equity,"17,20,296.88",0,"17,20,296.88","32,668.00",52.66,United States,NASDAQ
KRMN,KARMAN HOLDINGS INC,Industrials,Equity,"17,07,961.47",0,"17,07,961.47","35,709.00",47.83,United States,NYSE
FRHC,FREEDOM HOLDING CORP,Financials,Equity,"17,08,704.80",0,"17,08,704.80","12,364.00",138.2,United States,NASDAQ
WHR,WHIRLPOOL CORP,Consumer Discretionary,Equity,"16,04,729.35",0,"16,04,729.35","37,415.00",42.89,United States,NYSE
RH,RH,Consumer Discretionary,Equity,"15,66,976.56",0,"15,66,976.56","10,239.00",153.04,United States,NYSE
ACHC,ACADIA HEALTHCARE COMPANY INC,Health Care,Equity,"15,64,978.20",0,"15,64,978.20","63,617.00",24.6,United States,NASDAQ
HHH,HOWARD HUGHES HOLDINGS INC,Real Estate,Equity,"15,43,529.96",0,"15,43,529.96","23,086.00",66.86,United States,NYSE
RARE,ULTRAGENYX PHARMACEUTICAL INC,Health Care,Equity,"14,83,621.15",0,"14,83,621.15","60,929.00",24.35,United States,NASDAQ
WU,WESTERN UNION,Financials,Equity,"14,65,704.15",0,"14,65,704.15","1,94,133.00",7.55,United States,NYSE
CXT,CRANE NXT,Information Technology,Equity,"14,42,833.31",0,"14,42,833.31","33,973.00",42.47,United States,NYSE
NWL,NEWELL BRANDS INC,Consumer Discretionary,Equity,"14,43,277.08",0,"14,43,277.08","2,93,349.00",4.92,United States,NASDAQ
LBTYA,LIBERTY GLOBAL LTD CLASS A,Communication,Equity,"14,43,665.44",0,"14,43,665.44","1,15,864.00",12.46,United States,NASDAQ
FWONA,LIBERTY MEDIA FORMULA ONE SERIES A,Communication,Equity,"14,34,005.10",0,"14,34,005.10","17,490.00",81.99,United States,NASDAQ
XRAY,DENTSPLY SIRONA INC,Health Care,Equity,"14,07,887.97",0,"14,07,887.97","1,39,533.00",10.09,United States,NASDAQ
LLYVA,LIBERTY LIVE HOLDINGS INC SERIES A,Consumer Discretionary,Equity,"13,12,141.41",0,"13,12,141.41","13,537.00",96.93,United States,NASDAQ
DDS,DILLARDS INC CLASS A,Consumer Discretionary,Equity,"13,06,031.41",0,"13,06,031.41","2,141.00",610.01,United States,NYSE
SNDR,SCHNEIDER NATIONAL INC CLASS B,Industrials,Equity,"12,64,945.08",0,"12,64,945.08","32,907.00",38.44,United States,NYSE
COLM,COLUMBIA SPORTSWEAR,Consumer Discretionary,Equity,"12,17,610.24",0,"12,17,610.24","18,176.00",66.99,United States,NASDAQ
LBTYK,LIBERTY GLOBAL LTD CLASS C,Communication,Equity,"11,77,844.72",0,"11,77,844.72","98,072.00",12.01,United States,NASDAQ
CAI,CARIS LIFE SCIENCES INC,Health Care,Equity,"11,50,493.31",0,"11,50,493.31","64,023.00",17.97,United States,NASDAQ
SMMT,SUMMIT THERAPEUTICS INC,Health Care,Equity,"11,44,617.00",0,"11,44,617.00","81,700.00",14.01,United States,NASDAQ
NCNO,NCINO INC,Information Technology,Equity,"11,42,289.84",0,"11,42,289.84","74,562.00",15.32,United States,NASDAQ
DXC,DXC TECHNOLOGY,Information Technology,Equity,"11,42,334.41",0,"11,42,334.41","1,24,573.00",9.17,United States,NYSE
MAN,MANPOWER INC,Industrials,Equity,"11,26,114.00",0,"11,26,114.00","33,121.00",34,United States,NYSE
GLOB,GLOBANT SA,Information Technology,Equity,"10,98,269.55",0,"10,98,269.55","29,295.00",37.49,United States,NYSE
KMPR,KEMPER CORP,Financials,Equity,"10,98,878.40",0,"10,98,878.40","43,920.00",25.02,United States,NYSE
SEB,SEABOARD CORP,Consumer Staples,Equity,"10,74,112.78",0,"10,74,112.78",202,"5,317.39",United States,Nyse Mkt Llc
ZG,ZILLOW GROUP INC CLASS A,Real Estate,Equity,"10,62,357.84",0,"10,62,357.84","32,972.00",32.22,United States,NASDAQ
PRGO,PERRIGO PLC,Health Care,Equity,"10,53,490.41",0,"10,53,490.41","95,859.00",10.99,United States,NYSE
FMC,FMC CORP,Materials,Equity,"10,30,310.10",0,"10,30,310.10","86,946.00",11.85,United States,NYSE
FLO,FLOWERS FOODS INC,Consumer Staples,Equity,"10,09,194.50",0,"10,09,194.50","1,29,550.00",7.79,United States,NYSE
SAM,BOSTON BEER INC CLASS A,Consumer Staples,Equity,"9,92,755.62",0,"9,92,755.62","5,458.00",181.89,United States,NYSE
DV,DOUBLEVERIFY HOLDINGS INC,Communication,Equity,"9,84,249.00",0,"9,84,249.00","96,495.00",10.2,United States,NYSE
SRPT,SAREPTA THERAPEUTICS INC,Health Care,Equity,"9,79,105.12",0,"9,79,105.12","63,952.00",15.31,United States,NASDAQ
BFA,BROWN FORMAN CORP CLASS A,Consumer Staples,Equity,"9,46,834.40",0,"9,46,834.40","34,556.00",27.4,United States,NYSE
INSP,INSPIRE MEDICAL SYSTEMS INC,Health Care,Equity,"8,92,899.70",0,"8,92,899.70","20,911.00",42.7,United States,NYSE
REYN,REYNOLDS CONSUMER PRODUCTS INC,Consumer Staples,Equity,"8,87,104.53",0,"8,87,104.53","37,701.00",23.53,United States,NASDAQ
DJT,TRUMP MEDIA TECHNOLOGY GROUP CORP,Communication,Equity,"8,77,141.20",0,"8,77,141.20","1,12,454.00",7.8,United States,NASDAQ
SFD,SMITHFIELD FOODS INC,Consumer Staples,Equity,"8,48,796.39",0,"8,48,796.39","31,707.00",26.77,United States,NASDAQ
WEN,WENDYS,Consumer Discretionary,Equity,"8,37,648.35",0,"8,37,648.35","1,23,365.00",6.79,United States,NASDAQ
UAA,UNDER ARMOUR INC CLASS A,Consumer Discretionary,Equity,"8,32,008.10",0,"8,32,008.10","1,37,522.00",6.05,United States,NYSE
CNXC,CONCENTRIX CORP,Industrials,Equity,"8,35,308.40",0,"8,35,308.40","31,882.00",26.2,United States,NASDAQ
PPC,PILGRIMS PRIDE CORP,Consumer Staples,Equity,"8,30,322.91",0,"8,30,322.91","27,613.00",30.07,United States,NASDAQ
UA,UNDER ARMOUR INC CLASS C,Consumer Discretionary,Equity,"8,09,017.44",0,"8,09,017.44","1,37,588.00",5.88,United States,NYSE
BRBR,BELLRING BRANDS INC,Consumer Staples,Equity,"8,04,634.92",0,"8,04,634.92","91,332.00",8.81,United States,NYSE
CNA,CNA FINANCIAL CORP,Financials,Equity,"7,83,012.48",0,"7,83,012.48","17,354.00",45.12,United States,NYSE
TFSL,TFS FINANCIAL CORP,Financials,Equity,"7,03,804.32",0,"7,03,804.32","41,596.00",16.92,United States,NASDAQ
FIGR,FIGURE TECHNOLOGY SOLUTIONS INC CL,Financials,Equity,"6,81,715.44",0,"6,81,715.44","24,408.00",27.93,United States,NASDAQ
BLSH,BULLISH,Financials,Equity,"6,31,217.58",0,"6,31,217.58","23,198.00",27.21,United States,NYSE
CLVT,CLARIVATE PLC,Industrials,Equity,"6,32,663.33",0,"6,32,663.33","2,86,273.00",2.21,United States,NYSE
SAIL,SAILPOINT INC,Information Technology,Equity,"6,14,814.86",0,"6,14,814.86","42,053.00",14.62,United States,NASDAQ
COTY,COTY INC CLASS A,Consumer Staples,Equity,"5,63,536.80",0,"5,63,536.80","2,72,240.00",2.07,United States,NYSE
GTM,ZOOMINFO TECHNOLOGIES INC,Communication,Equity,"5,48,124.22",0,"5,48,124.22","1,95,062.00",2.81,United States,NASDAQ
LENB,LENNAR CORP CLASS B,Consumer Discretionary,Equity,"5,43,478.50",0,"5,43,478.50","6,141.00",88.5,United States,NYSE
GLIBK,LIBERTY CAPITAL CORP SERIES C,Communication,Equity,"5,06,133.76",0,"5,06,133.76","22,336.00",22.66,United States,NASDAQ
LCID,LUCID GROUP INC,Consumer Discretionary,Equity,"4,52,186.80",0,"4,52,186.80","86,959.00",5.2,United States,NASDAQ
