Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Bandhan Bank","https://scanx.trade/company/bandhan-bank-ltd","194.61","1.85%","191.08","1,12,98,203","31,351.11","25.15","17.92","212.66","134.25","10.49%","13.57%","15.69%","-18.21%","-35.05%","1.22","0.78%","10.32%","7.35%","15.97","176.72","163.50","56.48","59.47%","80.00%"
"Angel One","https://scanx.trade/company/angel-broking-ltd","339.35","-0.09%","341.95","1,03,07,977","30,848.79","33.87","42.91","343.30","208.63","4.72%","35.94%","18.40%","183.76%","352.89%","5.06","-","37.04%","33.08%","132.93","279.88","256.82","67.07","69.05%","80.00%"
"LIC Housing Finance","https://scanx.trade/company/lic-housing-finance-ltd","539.20","0.23%","542.40","9,93,024","29,659.40","5.29","0.49","646.50","458.90","-4.59%","2.79%","-9.49%","44.64%","18.23%","0.72","-","15.12%","9.65%","86.33","531.73","546.09","45.30","76.00%","87.50%"
"Exide Industries","https://scanx.trade/company/exide-industries-ltd","339.75","-0.31%","341.00","13,03,386","28,878.75","33.69","130.68","431.00","287.00","2.00%","0.98%","-11.71%","66.06%","81.54%","2.08","0.59%","6.84%","8.57%","10.29","327.88","361.40","47.37","76.00%","87.50%"
"Jubilant FoodWorks","https://scanx.trade/company/jubilant-foodworks-ltd","436.65","0.23%","435.00","51,99,265","28,812.14","64.73","2.39","718.95","408.80","-7.47%","-17.98%","-35.25%","-6.84%","-27.71%","12.54","0.28%","17.86%","12.94%","4.12","461.07","552.00","39.68","76.00%","86.72%"
"PNB Housing Finance","https://scanx.trade/company/pnb-housing-finance-ltd","1,059.60","0.35%","1,060.00","11,39,365","27,603.49","12.00","0.49","1,141.90","729.60","8.22%","24.82%","0.84%","127.53%","208.09%","1.43","0.76%","10.07%","9.27%","61.35","920.70","883.45","62.31","73.81%","80.00%"
"Manappuram Finance","https://scanx.trade/company/manappuram-finance-ltd","324.10","0.53%","323.50","50,37,773","27,432.95","27.54","42.91","324.45","227.55","15.01%","5.74%","42.11%","193.83%","103.01%","1.71","0.86%","18.98%","10.79%","26.55","280.59","284.27","67.57","73.96%","80.00%"
"Nuvama Wealth Management","https://scanx.trade/company/nuvama-wealth-management-ltd","1,480.90","-1.21%","1,500.00","2,20,152","26,958.53","26.22","42.91","1,701.70","1,096.90","6.42%","14.82%","7.39%","183.43%","-43.31%","6.65","0.93%","21.55%","23.65%","203.79","1,319.45","1,364.70","57.15","50.00%","75.00%"
"Tata Elxsi","https://scanx.trade/company/tata-elxsi-ltd","4,311.10","2.21%","4,220.00","2,73,949","26,856.72","41.77","52.77","6,735.00","3,945.00","-7.30%","-11.28%","-30.29%","-38.65%","20.89%","8.63","1.78%","36.00%","52.73%","126.48","4,258.34","5,078.30","54.73","76.00%","87.25%"
"Force Motors","https://scanx.trade/company/force-motors-ltd","19,878.00","2.79%","19,475.00","1,59,448","25,906.83","21.04","124.53","26,450.00","10,158.50","-9.12%","-18.78%","87.48%","1,357.44%","1,488.27%","6.08","0.26%","17.20%","37.08%","330.24","20,813.52","19,484.93","46.55","50.00%","75.00%"
"Amber Enterprises","https://scanx.trade/company/amber-enterprises-india-ltd","7,359.00","-2.36%","7,545.00","7,22,523","25,897.55","117.48","-70.68","8,974.00","5,400.50","-6.36%","-3.81%","11.31%","251.51%","144.87%","6.09","-","6.59%","14.95%","47.37","7,418.14","7,348.24","43.51","69.46%","80.00%"
"NBCC","https://scanx.trade/company/nbcc-ltd","94.82","1.88%","93.24","1,11,93,155","25,601.40","37.37","35.52","130.70","77.18","1.65%","-0.09%","-16.24%","250.28%","189.09%","9.41","0.72%","13.09%","26.58%","3.11","89.56","103.17","54.15","69.79%","80.00%"
"CDSL","https://scanx.trade/company/central-depository-services-ltd","1,204.10","0.36%","1,204.00","11,76,424","25,165.69","55.11","35.52","1,828.90","1,116.30","-11.63%","-8.81%","-16.98%","143.23%","176.46%","12.80","1.06%","27.84%","37.66%","45.91","1,243.13","1,429.85","42.91","72.64%","80.00%"
"Kaynes Technology India","https://scanx.trade/company/kaynes-technology-ltd","3,321.40","4.61%","3,198.90","21,81,529","22,264.89","58.51","7.94","7,705.00","2,995.00","-21.80%","-14.20%","-44.19%","179.86%","381.40%","4.48","-","9.91%","15.98%","32.73","3,822.61","5,009.48","38.90","69.50%","75.00%"
