Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"BSE","https://scanx.trade/company/bse-ltd","4,193.80","0.16%","4,200.00","24,89,857","1,71,058.42","68.56","35.52","4,298.90","2,021.50","19.28%","53.09%","72.23%","2,300.43%","4,952.16%","25.56","0.24%","22.34%","30.53%","44.38","3,382.96","2,774.42","76.55","65.00%","80.37%"
"Adani Energy Solutions","https://scanx.trade/company/adani-transmission-ltd","1,367.90","1.91%","1,365.00","33,44,194","1,64,323.45","67.26","40.56","1,463.65","744.90","8.11%","37.05%","56.84%","73.73%","-5.91%","6.33","-","8.73%","6.77%","12.54","1,178.66","989.84","61.74","68.33%","80.00%"
"Solar Industries","https://scanx.trade/company/solar-industries-ltd","18,132.00","-1.41%","18,400.00","1,56,707","1,64,076.57","95.80","11.33","18,699.00","11,646.00","21.29%","36.37%","27.76%","377.10%","1,320.45%","26.50","0.06%","25.54%","30.18%","102.22","14,917.42","13,938.02","74.27","74.84%","85.98%"
"TVS Motors","https://scanx.trade/company/tvs-motors-ltd","3,417.50","1.09%","3,380.00","9,24,915","1,62,361.02","50.40","40.49","3,970.00","2,655.10","-8.93%","-10.45%","23.50%","175.57%","446.80%","16.79","-","23.68%","22.61%","36.05","3,542.10","3,540.94","43.79","76.00%","87.50%"
"Hitachi Energy","https://scanx.trade/company/abb-power-products-systems-ltd","35,555.00","-2.46%","36,585.00","1,18,548","1,58,477.04","193.09","2.93","36,750.00","15,870.00","18.95%","48.95%","114.17%","781.83%","1,905.58%","35.44","0.02%","12.04%","13.08%","40.53","29,174.70","22,166.68","67.70","50.00%","80.57%"
"Trent","https://scanx.trade/company/trent-ltd","4,296.50","3.02%","4,189.00","10,87,977","1,52,735.19","86.12","13.90","6,261.00","3,275.50","-2.14%","5.02%","-21.07%","187.76%","419.62%","21.22","0.14%","36.01%","29.27%","35.43","3,923.13","4,375.30","60.88","72.77%","85.42%"
"Torrent Pharmaceuticals","https://scanx.trade/company/torrent-pharmaceuticals-ltd","4,486.20","0.38%","4,474.30","2,05,928","1,51,833.39","66.60","33.03","4,555.10","3,102.00","8.47%","5.76%","36.40%","169.94%","230.12%","17.91","0.13%","24.16%","28.48%","49.44","4,262.95","3,907.01","61.90","78.00%","87.50%"
"Jio Financial Services","https://scanx.trade/company/jio-financial-services-ltd","238.19","1.02%","236.11","1,35,17,010","1,51,325.48","99.89","42.91","338.60","223.30","1.47%","-7.89%","-13.18%","-4.30%","-4.30%","1.10","0.24%","1.15%","1.49%","2.50","239.34","282.16","48.08","75.00%","87.50%"
"Pidilite Industries","https://scanx.trade/company/pidilite-industries-ltd","1,478.40","0.38%","1,474.10","5,33,048","1,50,466.57","60.59","11.33","1,574.95","1,259.00","5.01%","0.92%","-0.98%","15.20%","49.48%","13.82","1.46%","20.28%","26.80%","36.93","1,383.08","1,462.60","61.54","78.00%","87.50%"
"Hyundai Motor India","https://scanx.trade/company/hyundai-motor-india-ltd","1,848.60","0.18%","1,850.10","17,36,999","1,50,206.35","27.60","46.98","2,890.00","1,658.00","-1.97%","-19.39%","-3.21%","1.59%","1.59%","7.49","1.14%","-","40.99%","-","1,855.92","2,222.21","51.13","65.00%","87.50%"
"Vodafone Idea","https://scanx.trade/company/vodafone-idea-ltd","13.73","0.81%","13.62","75,62,53,332","1,48,754.99","4.27","32.19","13.88","6.12","43.77%","23.03%","103.11%","94.75%","60.58%","-4.13","-","29.99%","-1.99%","-","10.24","9.71","83.61","65.99%","77.91%"
"Cummins","https://scanx.trade/company/cummins-india-ltd","5,353.00","-0.69%","5,375.00","2,30,767","1,48,385.16","66.60","61.26","5,470.50","2,915.60","4.62%","13.08%","79.58%","226.46%","542.23%","18.91","0.96%","26.02%","32.98%","66.04","4,996.20","4,393.71","57.74","76.00%","87.50%"
"DLF","https://scanx.trade/company/dlf-ltd","586.70","-0.21%","588.90","18,95,533","1,45,226.73","32.98","14.55","886.80","489.40","-3.43%","-6.77%","-24.31%","24.33%","118.59%","3.20","1.36%","4.13%","5.62%","11.50","569.85","676.86","51.17","76.00%","87.40%"
"Samvardhana Motherson International","https://scanx.trade/company/motherson-sumi-systems-ltd","136.18","-0.60%","137.30","3,43,27,232","1,43,730.40","35.43","130.68","138.40","89.70","9.21%","5.22%","37.79%","154.88%","50.34%","3.53","-","10.70%","14.07%","4.75","121.08","113.51","63.60","75.72%","85.23%"
"Bharat Heavy Electricals","https://scanx.trade/company/bhel-bharat-heavy-electricals-ltd","408.55","0.10%","408.50","78,79,542","1,42,259.70","88.76","2.93","417.90","205.12","22.83%","58.78%","65.12%","410.37%","465.86%","5.44","0.34%","1.15%","3.75%","0.29","318.65","270.61","71.09","72.83%","83.87%"
"Power Finance Corporation","https://scanx.trade/company/power-finance-corporation-ltd","430.55","-0.10%","432.00","36,09,645","1,42,085.88","4.23","32.82","486.50","329.90","-8.61%","4.99%","4.33%","224.89%","352.83%","1.07","-","19.70%","9.24%","62.81","433.63","399.42","42.63","72.83%","86.34%"
"ABB","https://scanx.trade/company/abb-ltd","6,689.50","1.39%","6,600.50","3,71,775","1,41,756.11","46.98","2.93","7,822.50","4,637.50","-7.79%","11.73%","13.64%","71.76%","366.79%","17.85","0.60%","21.00%","28.46%","75.95","6,639.58","5,608.02","49.65","75.96%","87.00%"
"Polycab","https://scanx.trade/company/polycab-india-ltd","9,263.50","0.76%","9,227.50","1,77,024","1,39,462.46","51.11","21.79","9,309.50","5,760.00","16.44%","17.72%","52.99%","169.21%","469.48%","11.53","0.51%","21.87%","27.96%","118.40","7,973.30","7,579.36","72.46","74.12%","86.14%"
"Tech Mahindra","https://scanx.trade/company/tech-mahindra-ltd","1,422.20","0.15%","1,425.00","6,54,078","1,39,344.27","28.96","25.39","1,854.00","1,304.10","-5.24%","-2.38%","-11.01%","32.65%","45.05%","4.69","3.25%","8.83%","18.78%","25.74","1,418.62","1,493.69","48.91","76.00%","89.08%"
"Bank of Baroda","https://scanx.trade/company/bank-of-baroda-ltd","265.40","0.87%","263.45","1,88,28,819","1,37,247.95","6.78","8.71","325.50","230.52","-6.57%","-14.12%","9.99%","45.90%","228.47%","0.82","3.24%","15.25%","5.69%","36.82","271.06","274.81","47.50","76.00%","87.50%"
"CG Power & Industrial Solutions","https://scanx.trade/company/cg-power-and-industrial-solutions-ltd","865.70","0.09%","866.90","20,28,217","1,36,340.62","113.67","2.93","886.80","525.50","7.51%","21.56%","24.74%","154.13%","882.08%","17.09","0.15%","28.86%","31.58%","5.88","766.95","710.75","62.82","74.12%","85.86%"
"Siemens","https://scanx.trade/company/siemens-ltd","3,811.70","2.45%","3,720.60","5,34,453","1,35,742.45","74.98","2.93","3,930.00","2,826.00","2.42%","18.89%","15.83%","105.96%","286.01%","10.03","0.32%","14.98%","22.43%","68.99","3,461.47","3,223.69","60.06","74.98%","86.23%"
"Tata Motors Passenger Vehicles","https://scanx.trade/company/tata-motors-passenger-vehicles-ltd","363.35","0.55%","364.50","69,34,910","1,33,808.20","1.61","46.98","450.40","294.30","2.09%","-3.88%","-17.42%","14.34%","91.70%","1.19","0.83%","34.17%","18.34%","102.18","337.32","373.40","59.90","76.00%","87.33%"
"HDFC Life Insurance","https://scanx.trade/company/hdfc-life-insurance-ltd","616.60","0.37%","619.00","34,81,863","1,33,038.59","69.33","42.91","820.75","555.10","0.39%","-15.38%","-18.84%","10.58%","-8.07%","7.47","0.34%","10.73%","0.60%","7.61","610.57","716.40","53.12","78.00%","90.88%"
"Muthoot Finance","https://scanx.trade/company/muthoot-finance-ltd","3,296.70","0.73%","3,278.80","3,67,680","1,32,352.11","12.39","42.91","4,149.50","2,028.10","-8.68%","-4.72%","57.77%","218.55%","160.57%","3.36","0.92%","16.57%","13.76%","111.25","3,396.09","3,373.41","42.34","76.00%","85.27%"
"Cholamandalam Investment","https://scanx.trade/company/cholamandalam-investment-ltd","1,539.80","2.38%","1,514.70","12,87,931","1,31,167.81","24.51","42.91","1,831.50","1,299.40","-3.11%","-7.77%","-7.02%","47.58%","164.21%","4.21","0.13%","17.41%","9.61%","43.53","1,532.66","1,614.15","46.88","75.93%","86.43%"
"Tata Power","https://scanx.trade/company/tata-power-ltd","408.90","-0.39%","411.00","43,98,760","1,30,657.43","25.62","40.56","464.90","342.50","-6.23%","8.17%","1.75%","98.64%","289.80%","3.32","0.61%","11.17%","9.90%","11.48","411.51","390.10","42.85","76.00%","87.50%"
"Vedanta","https://scanx.trade/company/vedanta-ltd","329.95","0.06%","331.00","1,40,86,715","1,29,023.25","5.14","13.82","340.65","157.17","14.99%","29.19%","101.42%","212.72%","222.19%","2.60","13.65%","17.92%","28.36%","13.95","282.75","223.52","62.41","75.86%","85.09%"
"Britannia Industries","https://scanx.trade/company/britannia-industries-ltd","5,331.50","-0.03%","5,341.00","4,98,183","1,28,418.93","50.62","21.25","6,336.00","5,279.50","-8.67%","-12.58%","-2.95%","18.48%","55.18%","25.15","1.70%","53.81%","58.72%","91.68","5,618.05","5,838.60","36.50","78.00%","87.50%"
"IRFC","https://scanx.trade/company/indian-railway-finance-corp-ltd","98.19","0.02%","98.17","60,16,639","1,28,319.66","18.31","32.82","148.95","87.00","-5.23%","-12.24%","-28.89%","193.10%","320.51%","2.26","-","13.04%","5.81%","4.93","99.43","115.12","41.69","72.21%","85.56%"
"Bharat Petroleum","https://scanx.trade/company/bharat-petroleum-ltd","295.60","-0.27%","297.00","53,66,953","1,28,246.22","4.97","9.14","391.65","266.60","-7.06%","-19.30%","-6.41%","64.09%","28.23%","1.28","-","35.51%","17.05%","44.92","299.47","337.56","47.64","76.00%","87.50%"
"Jindal Steel","https://scanx.trade/company/jindal-steel-ltd","1,209.90","1.09%","1,198.60","8,05,924","1,23,420.46","36.32","21.18","1,306.20","882.65","-6.12%","-0.59%","24.93%","131.60%","200.11%","2.40","0.17%","13.28%","8.16%","54.82","1,207.17","1,095.91","45.31","76.00%","87.50%"
"Union Bank of India","https://scanx.trade/company/union-bank-of-india-ltd","160.72","0.37%","160.00","85,63,944","1,22,687.31","6.29","8.71","205.49","124.64","-16.02%","-17.15%","15.24%","131.75%","329.73%","0.95","3.12%","14.05%","6.23%","18.56","173.96","158.47","37.95","73.93%","85.35%"
"Apollo Hospitals","https://scanx.trade/company/apollo-hospitals-ltd","8,362.50","0.65%","8,308.50","5,64,876","1,20,239.92","59.62","50.08","8,388.00","6,696.50","7.99%","9.81%","19.74%","88.04%","157.49%","12.61","0.24%","12.53%","15.53%","72.05","7,690.25","7,520.48","72.11","75.00%","91.00%"
"LTM","https://scanx.trade/company/lti-larsen-toubro-infotech-ltd","4,007.80","-2.95%","4,135.00","4,99,528","1,18,828.59","24.58","25.39","6,429.50","3,907.30","-15.77%","-18.03%","-20.38%","-16.56%","9.63%","5.10","1.81%","22.89%","25.78%","154.11","4,309.95","5,248.16","39.78","76.00%","87.50%"
"Punjab National Bank","https://scanx.trade/company/punjab-national-bank-ltd","102.66","0.73%","102.27","1,36,95,251","1,17,986.56","6.34","8.71","135.15","98.50","-10.03%","-20.78%","0.75%","108.45%","169.80%","0.83","2.95%","8.25%","5.75%","10.66","108.96","115.43","40.16","76.00%","87.50%"
"Tata Consumer Products","https://scanx.trade/company/tata-consumer-products-ltd","1,191.80","-0.26%","1,198.00","18,08,205","1,17,935.52","76.44","19.09","1,282.70","1,007.20","4.36%","3.08%","4.65%","57.64%","85.72%","5.43","0.84%","7.46%","8.29%","13.53","1,125.00","1,136.17","53.52","78.00%","90.46%"
"HDFC AMC","https://scanx.trade/company/hdfc-asset-management-company-ltd","2,738.70","0.40%","2,739.00","5,25,571","1,17,325.96","40.91","42.91","2,967.25","2,205.60","-1.98%","0.85%","13.75%","203.52%","94.68%","12.67","1.98%","27.46%","39.50%","96.87","2,585.06","2,689.87","54.38","76.00%","87.01%"
"Bajaj Holdings & Investments","https://scanx.trade/company/bajaj-holdings-and-investments-ltd","10,483.00","0.78%","10,389.00","29,263","1,16,668.99","11.81","42.91","14,763.00","8,588.00","1.49%","-6.30%","-20.23%","66.44%","192.15%","1.58","1.88%","11.70%","8.98%","670.52","9,994.72","11,495.17","56.21","68.52%","87.47%"
"Canara Bank","https://scanx.trade/company/canara-bank-ltd","128.23","0.20%","127.99","1,86,34,807","1,16,312.96","6.49","8.71","162.89","103.55","-11.11%","-16.81%","18.91%","115.30%","319.46%","1.04","3.28%","15.87%","6.11%","17.21","134.93","135.27","40.32","76.00%","87.21%"
"Indus Towers","https://scanx.trade/company/bharti-infratel-ltd","432.05","0.06%","433.00","39,05,979","1,13,981.82","15.92","18.14","481.50","312.55","4.17%","-8.92%","11.37%","198.17%","76.20%","2.87","3.25%","22.32%","28.12%","24.54","421.84","400.92","59.15","75.51%","87.50%"
"Cipla","https://scanx.trade/company/cipla-ltd","1,399.20","-0.19%","1,409.00","9,17,323","1,13,024.67","29.32","13.45","1,673.00","1,165.70","13.53%","4.33%","-5.61%","52.71%","50.95%","3.29","0.93%","15.50%","21.57%","55.04","1,292.37","1,437.87","61.92","78.00%","90.82%"
"Indian Bank","https://scanx.trade/company/indian-bank-ltd","825.95","0.85%","822.90","22,75,195","1,11,252.49","9.42","8.71","1,000.90","586.25","-10.33%","-12.75%","37.27%","188.59%","488.70%","1.51","2.23%","13.49%","5.89%","67.86","881.57","820.71","41.62","75.78%","86.33%"
"Dr Reddys Laboratories","https://scanx.trade/company/dr-reddys-laboratories-ltd","1,307.20","-0.86%","1,319.00","20,02,451","1,09,104.54","26.47","13.45","1,379.70","1,148.40","7.09%","2.09%","6.74%","48.82%","25.30%","2.90","0.61%","19.74%","21.88%","333.59","1,278.10","1,260.26","52.61","78.00%","90.58%"
"Ambuja Cements","https://scanx.trade/company/ambuja-cements-ltd","436.35","-0.02%","438.60","27,17,748","1,07,858.02","19.25","242.39","624.95","394.00","-4.36%","-14.78%","-23.15%","8.24%","35.74%","1.83","0.46%","9.32%","9.15%","12.66","438.14","525.08","47.14","76.00%","87.50%"
"Marico","https://scanx.trade/company/marico-ltd","824.45","-0.89%","831.90","9,98,448","1,07,025.57","59.53","15.69","848.80","680.30","8.12%","4.60%","16.18%","56.81%","79.35%","25.65","0.48%","36.03%","36.91%","11.73","779.04","746.65","58.42","78.00%","87.50%"
"Bosch","https://scanx.trade/company/bosch-ltd","36,065.00","2.43%","35,425.00","93,254","1,06,368.81","37.43","130.68","41,945.00","28,610.00","-5.34%","2.41%","13.93%","90.98%","135.90%","6.99","0.77%","20.65%","18.89%","646.75","34,641.60","36,895.20","48.34","78.00%","87.50%"
"GAIL","https://scanx.trade/company/gail-ltd","160.77","3.12%","153.00","1,91,57,978","1,05,707.88","11.91","35.52","202.79","134.36","-","-4.57%","-15.67%","53.33%","65.45%","1.16","3.53%","12.83%","15.14%","17.17","154.52","168.40","51.95","76.00%","87.50%"
"Godrej Consumer Products","https://scanx.trade/company/godrej-consumer-products-ltd","1,027.50","1.00%","1,023.80","19,05,091","1,05,138.38","55.95","79.68","1,309.00","967.05","-8.67%","-14.79%","-19.73%","1.76%","25.54%","8.23","1.97%","-4.45%","23.72%","17.15","1,053.87","1,153.82","43.46","76.00%","87.50%"
"Zydus Life Science","https://scanx.trade/company/cadila-healthcare-ltd","1,038.95","0.24%","1,041.00","12,96,117","1,04,542.68","20.35","13.45","1,093.65","835.50","11.88%","15.34%","16.78%","110.02%","69.44%","3.85","0.10%","17.34%","21.99%","41.43","925.37","943.86","69.40","76.00%","87.50%"
"Lupin","https://scanx.trade/company/lupin-ltd","2,281.80","-0.12%","2,297.00","12,25,221","1,04,288.12","19.51","13.45","2,494.00","1,836.80","-1.28%","2.81%","14.32%","194.65%","87.87%","4.65","0.79%","13.47%","21.29%","49.64","2,311.03","2,120.27","47.33","76.00%","87.50%"
"Mankind Pharma","https://scanx.trade/company/mankind-pharma-ltd","2,479.40","-1.38%","2,530.00","6,80,384","1,02,350.89","53.58","13.45","2,716.50","1,909.70","12.70%","22.48%","-2.05%","86.31%","74.32%","6.37","-","20.28%","13.33%","48.99","2,212.21","2,292.76","62.34","75.00%","87.50%"
"GMR Airports","https://scanx.trade/company/gmr-infrastructure-ltd","95.85","-1.05%","97.50","95,42,349","1,01,207.78","-569.94","35.52","110.36","79.92","-1.43%","-3.91%","9.38%","112.29%","263.07%","-37.43","-","-86.69%","7.69%","-","94.26","95.18","49.24","75.00%","86.54%"
"Mazagon Dock Shipbuilders","https://scanx.trade/company/mazagon-dock-shipbuilders-ltd","2,469.10","0.58%","2,464.00","6,03,666","99,598.56","38.41","35.52","3,775.00","2,057.40","-7.06%","4.61%","-27.62%","539.99%","2,243.71%","10.15","0.74%","21.98%","34.51%","96.04","2,476.28","2,588.03","45.10","66.44%","81.54%"
"Max Healthcare Institute","https://scanx.trade/company/max-healthcare-institute-ltd","1,023.25","-6.22%","1,068.25","1,17,11,405","99,576.04","74.87","50.08","1,314.30","903.00","0.29%","-5.94%","-10.41%","87.70%","350.28%","10.57","0.18%","14.89%","11.73%","10.84","999.85","1,088.57","49.03","70.00%","87.50%"
"Hero Motocorp","https://scanx.trade/company/hero-motocorp-ltd","4,966.00","-0.07%","4,970.00","2,84,550","99,364.58","17.22","40.49","6,388.50","4,158.10","-5.57%","-9.13%","16.47%","83.04%","72.17%","4.60","3.72%","20.98%","28.71%","204.10","5,186.26","5,439.50","41.85","76.00%","89.05%"
"JSW Energy","https://scanx.trade/company/jsw-energy-ltd","551.25","0.51%","548.10","18,02,387","96,870.74","34.91","40.56","585.65","427.75","0.84%","11.60%","9.20%","126.11%","370.75%","3.14","0.36%","8.21%","5.73%","11.18","523.43","509.19","56.21","72.61%","85.52%"
"Aditya Birla Capital","https://scanx.trade/company/aditya-birla-capital-ltd","357.30","2.26%","351.00","35,06,988","93,593.72","23.71","42.91","375.95","213.10","3.69%","3.61%","61.34%","118.00%","185.38%","2.66","-","12.01%","9.58%","13.24","334.37","325.01","56.40","76.00%","-"
"United Spirits","https://scanx.trade/company/united-spirits-ltd","1,282.10","0.75%","1,275.20","8,42,545","93,253.65","50.37","36.58","1,645.00","1,210.80","-5.94%","-7.05%","-17.68%","56.92%","124.05%","10.34","0.86%","19.77%","26.08%","19.42","1,301.91","1,352.43","46.04","76.00%","87.50%"
"Ashok Leyland","https://scanx.trade/company/ashok-leyland-ltd","158.21","2.41%","155.00","1,86,94,921","92,930.25","25.33","124.53","215.42","114.96","-10.42%","-24.25%","29.35%","104.54%","152.21%","7.21","2.02%","22.82%","15.46%","8.52","166.59","161.06","45.10","76.00%","85.81%"
"Indian Hotels Company","https://scanx.trade/company/indian-hotels-company-ltd","650.25","-1.09%","656.65","14,15,868","92,558.68","41.62","2.39","811.95","565.00","-2.39%","-3.66%","-15.89%","74.63%","414.85%","7.17","0.49%","11.86%","17.74%","9.03","633.60","701.90","50.78","76.00%","87.50%"
"ICICI Lombard General Insurance","https://scanx.trade/company/icici-lombard-general-insurance-ltd","1,826.20","1.40%","1,809.90","4,86,144","91,010.95","32.41","42.91","2,068.70","1,629.50","-0.75%","-5.68%","-2.76%","69.62%","19.56%","5.40","0.75%","15.72%","-8.50%","42.73","1,800.67","1,893.86","53.02","78.00%","87.50%"
"Bharat Forge","https://scanx.trade/company/bharat-forge-ltd","1,897.70","-0.06%","1,900.00","6,36,410","90,726.88","83.30","28.42","2,044.00","1,100.50","0.10%","6.61%","54.41%","150.59%","194.38%","9.47","0.45%","12.70%","16.45%","22.02","1,822.66","1,490.20","52.38","76.00%","86.90%"
"Shree Cement","https://scanx.trade/company/shree-cement-ltd","24,785.00","0.73%","24,610.00","13,414","89,426.13","50.77","242.39","32,490.00","22,550.00","-2.96%","-6.51%","-21.29%","1.54%","-10.27%","3.82","0.61%","11.55%","6.67%","582.58","24,352.80","27,089.68","50.05","78.00%","87.50%"
"REC","https://scanx.trade/company/rural-electrification-corporation-ltd","336.95","0.97%","335.50","46,13,260","88,726.48","5.38","32.82","428.70","304.05","-12.10%","-4.87%","-15.80%","159.59%","211.56%","1.03","5.56%","20.40%","9.48%","55.59","345.71","361.14","39.84","72.32%","86.25%"
"Lodha Developers","https://scanx.trade/company/macrotech-developers-ltd","886.75","0.34%","889.00","10,18,152","88,576.76","25.73","14.55","1,531.00","650.80","1.26%","-17.22%","-37.07%","83.71%","175.23%","3.86","0.48%","8.86%","18.64%","19.37","843.37","1,057.61","51.39","72.22%","83.69%"
"Waaree Energies","https://scanx.trade/company/waaree-energies-ltd","2,997.50","-1.93%","3,075.00","12,54,447","86,220.36","22.64","2.93","3,865.00","2,403.00","-13.69%","3.45%","0.51%","28.16%","28.16%","6.09","-","-","24.78%","-","3,137.12","3,121.57","38.46","50.00%","82.09%"
"Aurobindo Pharma","https://scanx.trade/company/aurobindo-pharma-ltd","1,463.50","-5.38%","1,520.00","30,38,819","85,000.32","25.77","13.45","1,550.00","1,016.10","5.16%","26.29%","21.54%","148.03%","44.45%","2.56","-","10.62%","15.74%","61.22","1,382.20","1,203.81","52.91","76.00%","87.50%"
"MCX","https://scanx.trade/company/multi-commodity-exchange-ltd","3,269.90","-1.59%","3,333.30","27,10,869","83,379.78","63.65","35.52","3,480.00","1,250.40","15.72%","36.48%","156.64%","1,109.82%","904.98%","29.76","0.24%","10.07%","24.11%","34.19","2,808.57","2,176.57","63.08","72.84%","80.00%"
"Steel Authority of India","https://scanx.trade/company/steel-authority-of-india-ltd","201.21","2.38%","197.00","2,60,32,718","83,110.30","24.04","21.18","209.70","118.10","14.94%","26.75%","61.12%","144.93%","64.93%","1.34","1.20%","3.98%","6.70%","9.38","171.01","146.54","66.17","73.43%","84.20%"
"PB FinTech","https://scanx.trade/company/policy-bazaar-ltd","1,792.40","-1.48%","1,815.00","24,14,312","82,933.11","125.67","52.77","1,978.00","1,364.00","10.42%","18.42%","3.80%","184.64%","49.08%","11.51","-","-8.90%","6.22%","2.28","1,578.76","1,698.83","66.55","70.00%","84.94%"
"Hindustan Petroleum","https://scanx.trade/company/hindustan-petroleum-ltd","389.65","0.22%","388.80","38,00,324","82,910.60","4.58","9.14","508.45","316.20","1.37%","-9.57%","-3.77%","128.00%","111.54%","1.26","6.24%","34.13%","12.56%","46.45","365.46","422.04","55.81","74.69%","84.87%"
"Oracle Financial Services Software","https://scanx.trade/company/oracle-financial-services-software-ltd","9,525.00","-2.11%","9,770.00","2,00,614","82,895.32","32.10","25.39","9,999.00","6,234.50","20.10%","43.39%","13.62%","168.30%","160.27%","10.83","2.77%","28.24%","36.86%","269.28","8,013.17","8,097.24","64.52","75.09%","86.31%"
"Oil India","https://scanx.trade/company/oil-india-ltd","499.75","-0.74%","503.00","19,51,342","81,289.72","10.84","-321.63","531.00","384.60","7.44%","5.09%","17.17%","178.77%","469.39%","1.41","2.28%","23.55%","11.77%","51.54","478.17","441.49","56.33","72.79%","85.78%"
"Dabur India","https://scanx.trade/company/dabur-india-ltd","451.05","0.94%","448.00","9,70,954","80,002.30","42.37","79.68","577.00","403.35","-0.21%","-11.51%","-6.37%","-13.11%","-15.97%","6.94","1.85%","17.58%","20.32%","10.60","446.64","495.97","47.14","78.00%","87.50%"
"Nykaa","https://scanx.trade/company/nykaa-ltd","277.25","1.00%","283.50","3,16,87,149","79,378.28","548.80","13.90","285.60","191.16","4.65%","4.39%","38.29%","116.10%","-24.59%","56.61","-","1.78%","12.91%","0.14","257.77","251.44","62.24","75.00%","87.50%"
"NHPC","https://scanx.trade/company/nhpc-ltd","78.36","-0.81%","79.07","1,02,84,991","78,712.89","18.81","40.56","92.34","71.62","-5.17%","5.22%","-10.57%","77.69%","206.09%","1.91","2.04%","8.28%","6.14%","3.60","78.59","80.17","45.61","75.25%","87.50%"
"Persistent Systems","https://scanx.trade/company/persistent-systems-ltd","4,970.30","-0.97%","5,038.00","4,59,525","78,406.48","42.45","25.39","6,599.00","4,449.10","-6.75%","-2.39%","-12.34%","103.36%","316.06%","10.10","0.80%","22.06%","28.61%","76.02","4,980.36","5,541.94","49.51","75.19%","86.08%"
"SRF","https://scanx.trade/company/srf-ltd","2,639.40","0.73%","2,661.90","5,21,212","78,238.37","42.32","11.33","3,325.00","2,355.00","6.82%","-1.85%","-10.57%","8.34%","104.55%","5.53","-","11.64%","12.90%","41.45","2,546.54","2,820.82","52.24","76.00%","87.50%"
"NMDC","https://scanx.trade/company/nmdc-ltd","87.85","-0.35%","88.49","1,54,40,319","77,236.12","11.22","13.82","94.25","66.80","-0.70%","9.63%","25.23%","149.43%","111.99%","2.39","3.75%","24.47%","29.74%","20.82","84.83","78.95","49.17","75.15%","87.40%"
"ICICI Prudential Life Insurance","https://scanx.trade/company/icici-prudential-life-insurance-ltd","520.05","1.95%","512.25","21,34,922","75,367.54","45.99","42.91","706.80","488.60","-5.46%","-20.15%","-15.87%","22.12%","-4.56%","5.44","0.32%","7.73%","0.44%","6.03","544.91","606.32","42.41","76.00%","80.00%"
"Havells","https://scanx.trade/company/havells-india-ltd","1,200.90","-0.73%","1,217.40","5,81,336","75,327.27","44.92","2.93","1,621.10","1,142.50","-9.63%","-15.00%","-23.86%","-4.66%","16.78%","8.02","0.83%","17.06%","22.11%","22.20","1,260.28","1,407.97","40.70","78.00%","87.50%"
"NALCO","https://scanx.trade/company/national-aluminium-company-ltd","409.25","0.70%","407.00","45,50,854","75,164.16","12.88","87.97","445.15","176.34","-3.24%","19.94%","125.17%","405.56%","478.04%","3.45","2.58%","10.93%","36.82%","10.50","404.15","303.88","51.14","71.97%","82.60%"
"Suzlon Energy","https://scanx.trade/company/suzlon-ltd","53.75","1.66%","53.17","6,07,60,806","73,716.15","22.32","2.93","74.30","38.19","1.22%","20.90%","-12.29%","532.35%","975.00%","9.18","-","262.69%","24.15%","0.68","48.29","52.32","56.90","50.00%","84.31%"
"AU Small Finance Bank","https://scanx.trade/company/au-small-finance-bank-ltd","977.90","2.00%","964.40","15,57,252","73,168.88","27.19","17.92","1,079.55","680.70","-5.78%","-5.03%","41.13%","29.73%","99.47%","3.64","-","38.28%","16.45%","23.05","962.45","899.31","46.40","76.00%","87.50%"
"Laurus Labs","https://scanx.trade/company/laurus-labs-ltd","1,343.50","-0.56%","1,355.70","16,98,593","72,529.73","81.91","13.45","1,373.90","584.50","20.56%","31.84%","125.02%","330.06%","175.00%","13.76","0.09%","4.09%","12.08%","2.75","1,120.68","1,003.11","77.10","75.20%","80.00%"
"Fortis Healthcare","https://scanx.trade/company/fortis-healthcare-ltd","960.40","-0.71%","971.95","12,68,964","72,506.18","74.45","50.08","1,104.30","667.20","4.78%","4.28%","42.91%","240.27%","322.15%","7.74","0.10%","7.54%","9.86%","8.50","890.38","923.52","58.34","75.00%","87.50%"
"Dixon Technologies","https://scanx.trade/company/dixon-technologies-ltd","11,722.00","4.12%","11,285.00","13,62,732","71,271.98","41.64","16.36","18,471.00","9,600.00","4.06%","5.87%","-24.92%","286.18%","197.15%","14.64","0.09%","19.86%","41.33%","72.30","10,743.61","13,479.68","60.93","70.00%","83.12%"
"One 97 Communications","https://scanx.trade/company/paytm-ltd","1,112.40","-3.74%","1,161.00","40,94,406","71,198.68","134.03","35.52","1,381.80","818.00","-4.66%","-3.55%","31.94%","56.64%","-28.73%","4.61","-","-13.67%","-4.12%","-","1,093.34","1,197.20","47.35","68.53%","82.33%"
"Indusind Bank","https://scanx.trade/company/indusind-bank-ltd","910.15","1.13%","903.00","11,65,558","70,910.34","78.85","17.92","968.85","710.60","6.28%","-1.72%","18.21%","-27.07%","-10.42%","1.07","0.17%","14.20%","5.98%","115.87","858.20","837.33","55.90","70.00%","85.55%"
